OverallQual,YearBuilt,YearRemodAdd,TotalBsmtSF,BsmtFinSF1,1stFlrSF,2ndFlrSF,GrLivArea,FullBath,HalfBath,TotRmsAbvGrd,Fireplaces,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,SalePrice
6.0,1970.0,1970.0,1657.0,1237.0,1657.0,0.0,1657.0,2.0,0.0,7.0,1.0,2.0,484.0,0.0,0.0,205027.09140606597
7.0,1926.0,1950.0,572.0,0.0,572.0,539.0,1111.0,1.0,0.0,5.0,1.0,1.0,288.0,0.0,0.0,131530.49021747406
7.0,2007.0,2007.0,1266.0,0.0,1266.0,0.0,1266.0,2.0,0.0,6.0,1.0,2.0,388.0,100.0,16.0,205209.3656781693
8.0,2008.0,2009.0,1468.0,0.0,1468.0,0.0,1468.0,2.0,0.0,6.0,1.0,3.0,898.0,210.0,150.0,258258.66021037963
7.0,1974.0,2003.0,1192.0,125.0,1516.0,651.0,2167.0,2.0,1.0,9.0,2.0,2.0,518.0,220.0,47.0,253239.26186586614
5.0,1956.0,1956.0,0.0,0.0,882.0,0.0,882.0,1.0,0.0,4.0,0.0,1.0,308.0,0.0,45.0,77942.19816559576
7.0,1880.0,2002.0,1470.0,0.0,1675.0,1818.0,3493.0,3.0,0.0,10.0,1.0,3.0,870.0,302.0,0.0,286715.8206298745
5.0,1940.0,1955.0,740.0,403.0,778.0,0.0,778.0,1.0,0.0,4.0,1.0,1.0,924.0,0.0,25.0,98902.14021354448
8.0,1995.0,1995.0,1128.0,584.0,1142.0,878.0,2020.0,2.0,1.0,8.0,1.0,2.0,466.0,0.0,155.0,251128.9693773943
7.0,2006.0,2006.0,1240.0,0.0,1240.0,0.0,1240.0,2.0,0.0,5.0,0.0,3.0,826.0,140.0,93.0,209476.05171597912
5.0,1948.0,1950.0,789.0,104.0,789.0,0.0,789.0,1.0,0.0,5.0,0.0,1.0,250.0,0.0,0.0,84395.39202261134
5.0,1971.0,1971.0,950.0,412.0,950.0,0.0,950.0,1.0,0.0,5.0,0.0,1.0,280.0,0.0,0.0,106843.48041742854
7.0,2000.0,2000.0,384.0,250.0,774.0,656.0,1430.0,2.0,1.0,7.0,1.0,2.0,400.0,180.0,0.0,203538.11483693565
5.0,1954.0,1954.0,936.0,812.0,1128.0,0.0,1128.0,1.0,0.0,5.0,0.0,1.0,286.0,0.0,0.0,110846.89031839906
6.0,1985.0,1985.0,741.0,0.0,977.0,755.0,1732.0,2.0,1.0,7.0,1.0,2.0,476.0,192.0,46.0,187755.33712616237
6.0,1964.0,1964.0,1516.0,196.0,1516.0,0.0,1516.0,1.0,1.0,6.0,0.0,2.0,472.0,0.0,0.0,165466.47928714682
8.0,1998.0,1999.0,1028.0,281.0,1210.0,1242.0,2452.0,2.0,1.0,9.0,1.0,2.0,683.0,208.0,50.0,270212.2616602795
4.0,1950.0,1950.0,721.0,0.0,841.0,0.0,841.0,1.0,0.0,4.0,0.0,1.0,294.0,250.0,0.0,70768.40523047186
5.0,1972.0,2003.0,768.0,660.0,768.0,0.0,768.0,1.0,0.0,5.0,0.0,1.0,396.0,192.0,0.0,121440.10210326104
5.0,1964.0,1999.0,1486.0,637.0,1486.0,0.0,1486.0,1.0,0.0,7.0,0.0,2.0,480.0,0.0,0.0,165861.78616270213
5.0,1962.0,2001.0,999.0,588.0,999.0,0.0,999.0,1.0,0.0,6.0,0.0,1.0,264.0,0.0,132.0,126163.55992961512
6.0,1906.0,1995.0,756.0,0.0,756.0,713.0,1469.0,1.0,0.0,7.0,0.0,1.0,216.0,57.0,0.0,136295.71053490252
7.0,1994.0,1994.0,973.0,595.0,979.0,871.0,1850.0,2.0,1.0,7.0,1.0,2.0,467.0,168.0,98.0,225694.77010266366
5.0,1977.0,1977.0,1126.0,936.0,1126.0,0.0,1126.0,2.0,0.0,5.0,1.0,2.0,484.0,295.0,41.0,164714.8511756051
5.0,1957.0,2002.0,1216.0,383.0,1526.0,0.0,1526.0,1.0,0.0,7.0,1.0,1.0,364.0,116.0,78.0,161037.23456157884
5.0,1946.0,1994.0,1598.0,152.0,1636.0,971.0,3086.0,3.0,0.0,12.0,1.0,0.0,0.0,122.0,0.0,197565.70598210348
4.0,1920.0,2008.0,736.0,0.0,736.0,716.0,1452.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,90908.14557359135
8.0,2004.0,2004.0,1136.0,970.0,1136.0,1332.0,2468.0,2.0,1.0,10.0,1.0,3.0,872.0,184.0,154.0,304152.03296950203
7.0,1941.0,1950.0,918.0,364.0,918.0,728.0,1646.0,2.0,0.0,7.0,2.0,1.0,240.0,0.0,0.0,178562.37063386175
5.0,1936.0,1989.0,796.0,626.0,1096.0,370.0,1466.0,2.0,0.0,7.0,1.0,2.0,566.0,436.0,21.0,175927.19415119197
7.0,2009.0,2010.0,1358.0,733.0,1358.0,0.0,1358.0,2.0,0.0,6.0,1.0,2.0,484.0,192.0,35.0,226382.68929733336
7.0,1992.0,1992.0,384.0,0.0,812.0,670.0,1482.0,2.0,1.0,7.0,1.0,2.0,392.0,100.0,25.0,194692.4114300944
5.0,1940.0,1950.0,728.0,428.0,976.0,332.0,1308.0,1.0,1.0,7.0,2.0,1.0,256.0,0.0,70.0,131708.5641012136
10.0,2001.0,2002.0,2633.0,1282.0,2633.0,0.0,2633.0,2.0,1.0,8.0,2.0,3.0,804.0,314.0,140.0,387825.44881152245
7.0,2006.0,2007.0,1258.0,0.0,1258.0,0.0,1258.0,2.0,0.0,6.0,1.0,3.0,648.0,144.0,16.0,222246.57640706026
6.0,1968.0,1968.0,896.0,448.0,1182.0,960.0,2142.0,2.0,1.0,8.0,1.0,1.0,509.0,0.0,72.0,182996.12089571147
4.0,1935.0,1995.0,884.0,0.0,989.0,584.0,1573.0,1.0,0.0,6.0,0.0,1.0,240.0,0.0,0.0,101856.4450401743
5.0,1982.0,1982.0,840.0,672.0,860.0,0.0,860.0,1.0,0.0,4.0,0.0,2.0,528.0,0.0,0.0,123556.4642784344
5.0,1960.0,1960.0,1268.0,697.0,1264.0,0.0,1264.0,1.0,0.0,6.0,2.0,2.0,461.0,0.0,0.0,158863.4438759298
7.0,1988.0,1988.0,980.0,394.0,980.0,734.0,1714.0,2.0,1.0,7.0,1.0,2.0,496.0,228.0,66.0,218629.86245111818
5.0,1965.0,1998.0,864.0,661.0,1200.0,0.0,1200.0,1.0,1.0,6.0,0.0,2.0,884.0,0.0,64.0,150457.90810465394
6.0,1977.0,1977.0,690.0,535.0,698.0,728.0,1426.0,1.0,1.0,6.0,0.0,2.0,440.0,252.0,0.0,167382.5699974217
6.0,2004.0,2004.0,1158.0,941.0,1158.0,0.0,1158.0,1.0,1.0,5.0,0.0,2.0,576.0,0.0,50.0,177440.9844799568
6.0,1992.0,1992.0,1055.0,0.0,1055.0,790.0,1845.0,2.0,1.0,8.0,1.0,2.0,462.0,635.0,104.0,220134.9525631573
6.0,1978.0,1978.0,918.0,226.0,918.0,765.0,1683.0,2.0,1.0,7.0,1.0,2.0,440.0,243.0,0.0,189014.78955651377
7.0,2006.0,2007.0,1258.0,0.0,1402.0,0.0,1402.0,0.0,2.0,7.0,1.0,3.0,648.0,120.0,16.0,229235.25233551627
6.0,1974.0,1999.0,1040.0,663.0,1309.0,0.0,1309.0,1.0,1.0,5.0,1.0,2.0,484.0,265.0,0.0,189741.81148547446
4.0,1971.0,1971.0,864.0,432.0,864.0,0.0,864.0,1.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0,77662.61231703241
4.0,1962.0,1962.0,0.0,0.0,1224.0,0.0,1224.0,2.0,0.0,6.0,0.0,2.0,462.0,0.0,0.0,97308.38733319822
5.0,1924.0,1950.0,1145.0,405.0,1301.0,0.0,1301.0,1.0,0.0,5.0,0.0,2.0,440.0,0.0,0.0,121983.5603348685
5.0,1910.0,2003.0,661.0,0.0,661.0,589.0,1250.0,2.0,0.0,8.0,1.0,2.0,552.0,242.0,0.0,151922.7494012341
5.0,1964.0,1964.0,912.0,312.0,912.0,0.0,912.0,1.0,0.0,5.0,0.0,1.0,288.0,0.0,0.0,100316.22746703285
5.0,1958.0,1965.0,1029.0,504.0,1339.0,0.0,1339.0,1.0,0.0,6.0,0.0,1.0,294.0,0.0,0.0,122608.36306401133
6.0,1969.0,2005.0,1026.0,439.0,1026.0,0.0,1026.0,1.0,0.0,5.0,0.0,2.0,440.0,171.0,48.0,163546.07060107263
5.0,1968.0,1968.0,1051.0,673.0,1159.0,0.0,1159.0,1.0,1.0,7.0,1.0,1.0,336.0,466.0,0.0,155301.66180609143
5.0,1969.0,1969.0,784.0,562.0,1168.0,800.0,1968.0,2.0,1.0,7.0,1.0,2.0,530.0,305.0,189.0,184324.3820049467
5.0,1982.0,2003.0,816.0,816.0,816.0,0.0,816.0,1.0,0.0,4.0,0.0,2.0,816.0,0.0,0.0,132723.27628176264
4.0,1910.0,1950.0,622.0,0.0,741.0,622.0,1363.0,1.0,0.0,6.0,0.0,2.0,528.0,0.0,0.0,89057.90039127553
4.0,1971.0,1971.0,858.0,0.0,872.0,0.0,872.0,1.0,0.0,5.0,0.0,4.0,480.0,0.0,0.0,121180.33208869095
5.0,1953.0,2006.0,1008.0,643.0,1008.0,0.0,1008.0,1.0,0.0,6.0,0.0,1.0,240.0,0.0,18.0,125789.65414942079
7.0,1914.0,1970.0,880.0,390.0,880.0,888.0,1768.0,1.0,1.0,6.0,2.0,2.0,320.0,0.0,341.0,198846.39070962532
6.0,2005.0,2006.0,1316.0,28.0,1316.0,0.0,1316.0,2.0,0.0,6.0,1.0,2.0,397.0,100.0,0.0,187605.57155509153
7.0,1915.0,1970.0,756.0,216.0,961.0,756.0,1717.0,1.0,0.0,7.0,1.0,3.0,642.0,0.0,35.0,199350.88264672994
6.0,1925.0,1950.0,672.0,156.0,810.0,672.0,1482.0,2.0,0.0,7.0,0.0,1.0,400.0,0.0,0.0,127455.62576473458
8.0,1994.0,1995.0,1463.0,1032.0,1500.0,1122.0,2622.0,2.0,1.0,9.0,2.0,2.0,712.0,186.0,32.0,300210.9266466743
5.0,1904.0,2002.0,650.0,0.0,958.0,581.0,1539.0,2.0,0.0,8.0,1.0,2.0,686.0,70.0,78.0,155833.98867458128
5.0,1948.0,2002.0,896.0,603.0,1112.0,896.0,2008.0,3.0,0.0,8.0,0.0,1.0,230.0,103.0,0.0,162060.60386232915
6.0,1976.0,1976.0,1029.0,422.0,1117.0,0.0,1117.0,1.0,0.0,6.0,1.0,2.0,672.0,144.0,0.0,171485.76975740748
7.0,2004.0,2004.0,1414.0,24.0,1414.0,0.0,1414.0,2.0,0.0,6.0,0.0,2.0,494.0,132.0,105.0,204302.319192976
8.0,2005.0,2005.0,893.0,0.0,901.0,900.0,1801.0,2.0,1.0,8.0,1.0,3.0,800.0,0.0,116.0,252461.43169180606
6.0,2005.0,2006.0,728.0,0.0,728.0,728.0,1456.0,2.0,1.0,8.0,1.0,2.0,390.0,0.0,24.0,183974.46075496427
8.0,2007.0,2007.0,1466.0,16.0,1466.0,0.0,1466.0,2.0,0.0,7.0,0.0,3.0,610.0,100.0,18.0,243747.45665877638
5.0,1966.0,1966.0,955.0,763.0,955.0,0.0,955.0,1.0,0.0,6.0,0.0,1.0,386.0,0.0,0.0,114807.5612475397
5.0,1958.0,1958.0,1052.0,57.0,1252.0,668.0,1920.0,2.0,0.0,8.0,1.0,2.0,451.0,0.0,0.0,161338.94707306568
8.0,1981.0,1981.0,1686.0,0.0,1707.0,0.0,1707.0,2.0,1.0,6.0,1.0,2.0,511.0,574.0,64.0,252982.1922604728
5.0,1941.0,1960.0,984.0,408.0,984.0,620.0,1604.0,2.0,0.0,6.0,0.0,2.0,660.0,0.0,68.0,138321.18638982042
8.0,2006.0,2006.0,1489.0,0.0,1489.0,0.0,1489.0,2.0,0.0,7.0,1.0,2.0,776.0,0.0,140.0,238631.27527969354
8.0,1995.0,1996.0,1462.0,689.0,1490.0,1304.0,2794.0,2.0,1.0,9.0,1.0,3.0,810.0,0.0,146.0,298881.26915596216
7.0,1931.0,1950.0,1040.0,224.0,1226.0,592.0,1818.0,1.0,1.0,7.0,2.0,1.0,240.0,0.0,0.0,182934.87134095142
6.0,1973.0,1973.0,942.0,837.0,1291.0,1230.0,2521.0,2.0,1.0,10.0,1.0,2.0,576.0,728.0,20.0,252524.9512159403
6.0,1985.0,1985.0,1298.0,1258.0,1298.0,0.0,1298.0,2.0,0.0,5.0,1.0,2.0,403.0,165.0,26.0,194753.66462662187
9.0,2009.0,2009.0,1766.0,1121.0,1766.0,0.0,1766.0,2.0,1.0,7.0,1.0,3.0,478.0,195.0,130.0,310016.134818797
5.0,1952.0,1952.0,540.0,0.0,1044.0,0.0,1044.0,1.0,0.0,4.0,0.0,2.0,504.0,0.0,0.0,101906.3565578924
7.0,1984.0,1984.0,1190.0,828.0,1190.0,900.0,2090.0,2.0,0.0,6.0,1.0,2.0,577.0,219.0,0.0,230656.79025067645
7.0,2009.0,2009.0,846.0,0.0,846.0,846.0,1692.0,2.0,1.0,6.0,0.0,2.0,650.0,208.0,114.0,206439.8806562645
7.0,2006.0,2006.0,1063.0,0.0,1071.0,1101.0,2172.0,2.0,1.0,9.0,1.0,3.0,947.0,192.0,62.0,257584.72259847936
3.0,1952.0,1952.0,0.0,0.0,944.0,0.0,944.0,1.0,0.0,4.0,0.0,2.0,528.0,0.0,0.0,54126.43266947474
5.0,1954.0,1954.0,1008.0,486.0,1008.0,0.0,1008.0,1.0,0.0,4.0,1.0,1.0,275.0,0.0,0.0,108090.79815700673
5.0,1946.0,1995.0,768.0,352.0,768.0,432.0,1200.0,1.0,0.0,6.0,0.0,1.0,240.0,0.0,0.0,115984.87906276784
5.0,1925.0,2004.0,680.0,0.0,764.0,0.0,764.0,1.0,0.0,4.0,0.0,2.0,504.0,0.0,0.0,106715.92147036339
6.0,1997.0,1997.0,1479.0,1200.0,1494.0,0.0,1494.0,2.0,0.0,6.0,0.0,2.0,576.0,168.0,27.0,203742.40218850994
10.0,1995.0,1996.0,1930.0,1387.0,1831.0,1796.0,3627.0,3.0,1.0,10.0,1.0,3.0,807.0,361.0,76.0,395607.82906627236
9.0,2008.0,2008.0,1702.0,1540.0,1702.0,0.0,1702.0,1.0,1.0,7.0,1.0,3.0,1052.0,0.0,72.0,306560.28540354525
7.0,1999.0,1999.0,975.0,0.0,1005.0,1286.0,2291.0,2.0,1.0,8.0,1.0,2.0,429.0,192.0,0.0,233006.8539824416
6.0,1961.0,1996.0,912.0,832.0,912.0,0.0,912.0,1.0,0.0,5.0,0.0,1.0,288.0,168.0,0.0,144372.38755479734
5.0,1919.0,2005.0,793.0,0.0,997.0,520.0,1517.0,2.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,110011.19876956916
6.0,1977.0,1995.0,1330.0,896.0,1542.0,1330.0,2872.0,2.0,1.0,11.0,1.0,2.0,619.0,550.0,282.0,277583.9982732865
6.0,1958.0,2002.0,1184.0,528.0,1414.0,0.0,1414.0,1.0,0.0,6.0,1.0,2.0,601.0,0.0,51.0,185340.39001814672
7.0,2003.0,2004.0,1374.0,0.0,1557.0,0.0,1557.0,2.0,0.0,7.0,1.0,2.0,420.0,143.0,20.0,220715.36618139665
4.0,1920.0,1950.0,649.0,0.0,649.0,668.0,1317.0,1.0,0.0,6.0,0.0,1.0,250.0,0.0,54.0,73693.80084108608
7.0,2006.0,2006.0,939.0,0.0,939.0,858.0,1797.0,2.0,1.0,8.0,0.0,2.0,639.0,144.0,53.0,214039.25138668274
5.0,1940.0,1950.0,756.0,312.0,756.0,378.0,1134.0,1.0,1.0,7.0,0.0,1.0,240.0,0.0,0.0,103136.00220514089
7.0,2001.0,2002.0,1413.0,0.0,1430.0,0.0,1430.0,2.0,0.0,6.0,0.0,2.0,605.0,0.0,33.0,197783.68834245205
7.0,2002.0,2002.0,916.0,700.0,920.0,941.0,1861.0,2.0,1.0,8.0,0.0,2.0,492.0,146.0,91.0,223698.60321294842
5.0,1965.0,1965.0,925.0,338.0,925.0,0.0,925.0,1.0,0.0,5.0,0.0,1.0,429.0,0.0,0.0,102674.48406261695
7.0,1995.0,1996.0,1237.0,0.0,1253.0,0.0,1253.0,2.0,0.0,6.0,1.0,2.0,402.0,220.0,21.0,203935.308884545
6.0,1994.0,1995.0,702.0,0.0,702.0,779.0,1481.0,2.0,1.0,6.0,1.0,2.0,343.0,0.0,36.0,170538.80165376095
4.0,1971.0,1971.0,864.0,524.0,864.0,0.0,864.0,1.0,0.0,4.0,0.0,2.0,576.0,216.0,0.0,105756.05511811096
6.0,1997.0,1997.0,916.0,0.0,916.0,684.0,1600.0,2.0,1.0,7.0,1.0,2.0,460.0,100.0,38.0,187691.95469600265
7.0,2003.0,2004.0,764.0,573.0,764.0,862.0,1626.0,2.0,1.0,6.0,0.0,2.0,474.0,0.0,27.0,198801.64590788353
8.0,2006.0,2006.0,1234.0,0.0,1264.0,1312.0,2576.0,2.0,1.0,10.0,1.0,3.0,666.0,324.0,100.0,298477.72104451107
3.0,1915.0,1982.0,1013.0,0.0,1013.0,0.0,1526.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,55442.643001927994
5.0,1968.0,1968.0,952.0,250.0,1211.0,0.0,1211.0,1.0,0.0,5.0,1.0,1.0,322.0,0.0,63.0,122839.50183822028
4.0,1910.0,2004.0,576.0,0.0,792.0,348.0,1140.0,1.0,0.0,7.0,0.0,0.0,0.0,0.0,160.0,76273.47933005821
5.0,1977.0,1977.0,757.0,548.0,925.0,550.0,1475.0,2.0,0.0,6.0,1.0,1.0,336.0,104.0,26.0,142378.6346497757
2.0,1936.0,1950.0,264.0,0.0,800.0,0.0,800.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,7485.490683187265
5.0,1921.0,1968.0,1073.0,0.0,1073.0,0.0,1073.0,1.0,0.0,4.0,0.0,1.0,326.0,0.0,0.0,93702.596971513
6.0,1980.0,1980.0,716.0,81.0,716.0,840.0,1556.0,2.0,1.0,6.0,1.0,2.0,452.0,161.0,0.0,173316.07388002705
6.0,1977.0,1977.0,975.0,975.0,1004.0,0.0,1004.0,1.0,0.0,4.0,0.0,2.0,504.0,0.0,0.0,151448.42501325347
6.0,1979.0,1979.0,918.0,0.0,918.0,0.0,918.0,2.0,0.0,5.0,1.0,1.0,264.0,28.0,0.0,134773.5405739213
5.0,1963.0,1963.0,1144.0,25.0,1144.0,0.0,1144.0,1.0,1.0,6.0,0.0,1.0,336.0,0.0,88.0,112640.75513234804
6.0,2000.0,2000.0,756.0,378.0,769.0,804.0,1573.0,2.0,1.0,5.0,0.0,2.0,440.0,0.0,32.0,169099.9680913859
5.0,1958.0,1958.0,874.0,460.0,874.0,650.0,1524.0,1.0,1.0,7.0,0.0,1.0,315.0,0.0,0.0,122974.86311744037
5.0,1964.0,1964.0,1728.0,40.0,1728.0,0.0,1728.0,2.0,0.0,10.0,0.0,1.0,352.0,155.0,0.0,161006.979315473
5.0,1910.0,1991.0,1117.0,969.0,820.0,527.0,1347.0,1.0,0.0,5.0,0.0,0.0,0.0,85.0,0.0,109993.59885470057
7.0,2004.0,2005.0,991.0,222.0,991.0,956.0,1947.0,2.0,1.0,8.0,1.0,2.0,678.0,0.0,136.0,227079.6283001972
6.0,1919.0,1950.0,764.0,0.0,1060.0,764.0,1824.0,1.0,0.0,8.0,1.0,2.0,520.0,0.0,0.0,162894.22189598926
7.0,1997.0,1997.0,964.0,0.0,993.0,1243.0,2236.0,2.0,1.0,8.0,1.0,2.0,642.0,0.0,0.0,224316.0733410963
8.0,2002.0,2002.0,1568.0,1218.0,1689.0,0.0,1689.0,2.0,0.0,7.0,2.0,3.0,857.0,150.0,59.0,292171.87965840916
6.0,1999.0,1999.0,841.0,0.0,892.0,783.0,1675.0,2.0,1.0,7.0,1.0,2.0,502.0,0.0,103.0,186741.35320796468
5.0,1980.0,1980.0,936.0,936.0,936.0,0.0,936.0,1.0,0.0,4.0,0.0,2.0,672.0,49.0,0.0,133101.9173517956
6.0,1972.0,1972.0,689.0,0.0,1378.0,741.0,2119.0,2.0,1.0,7.0,1.0,2.0,583.0,0.0,104.0,188408.5446210578
6.0,1997.0,1997.0,824.0,648.0,905.0,881.0,1786.0,2.0,1.0,7.0,0.0,2.0,684.0,0.0,162.0,190676.72716740775
5.0,1948.0,1950.0,720.0,0.0,720.0,551.0,1271.0,2.0,0.0,7.0,1.0,1.0,312.0,0.0,0.0,112794.13176021376
6.0,1967.0,1967.0,1372.0,251.0,1342.0,0.0,1342.0,2.0,0.0,7.0,1.0,2.0,457.0,0.0,0.0,174525.43103679898
